Qual	#Filtered	#AddFilter	#RawReads
23	0	1	2
24	0	12	14
25	0	74	74
26	6	156	165
27	113	305	425
28	479	443	929
29	1211	497	1736
30	2426	427	2892
31	4265	269	4577
32	7148	167	7370
33	10716	98	10894
34	16525	52	16668
35	25523	8	25682
36	41181	2	41356
37	72727	1	72954
38	158320	9	158641
39	570069	9	570380
40	294480	23	294578
