OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_3824	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	LD29	?	?
OTU_3822	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	?
OTU_3826	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XI	Anaerococcus	Anaerococcus provenciensis
OTU_3832	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU_3834	Bacteria	Firmicutes	?	?	?	?	?
OTU_3831	Bacteria	Actinobacteria	Thermoleophilia	?	?	?	?
OTU_3830	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	uncultured archaeon	?	?	?
OTU_3827	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	?	?	?
OTU_3780	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3836	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	uncultured cyanobacterium	?	?
OTU_3833	Bacteria	Actinobacteria	MB-A2-108	uncultured Firmicutes bacterium	?	?	?
OTU_3838	Bacteria	Parcubacteria	Candidatus Azambacteria	uncultured Parcubacteria group bacterium	?	?	?
OTU_3841	Bacteria	?	?	?	?	?	?
OTU_3828	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium	?
OTU_3837	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	?
OTU_3839	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU_3840	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	?
OTU_3835	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus gibsonii
OTU_3848	Bacteria	Omnitrophica	?	?	?	?	?
OTU_3842	Bacteria	Armatimonadetes	?	?	?	?	?
OTU_3843	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	0319-6M6	?	?
OTU_3844	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides albus
OTU_3853	Bacteria	Bacteroidetes	?	?	?	?	?
OTU_3850	Bacteria	Chloroflexi	Chloroflexia	?	?	?	?
OTU_3846	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	?	?	?
OTU_3852	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3847	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	0319-6M6	uncultured soil bacterium	?
OTU_3849	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	uncultured Asticcacaulis sp.
OTU_3854	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propioniciclava	Propioniciclava sp. JL42
OTU_3855	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Oscillatoria	Oscillatoria acuminata PCC 6304
OTU_3857	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	?	?
OTU_3851	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU_3859	Bacteria	Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae (Subgroup 4)	Blastocatella	uncultured Acidobacteria bacterium
OTU_3861	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Elev-16S-1332	uncultured actinobacterium	?
OTU_3862	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	?
OTU_3865	Bacteria	Cyanobacteria	Chloroplast	Capsicum annuum	?	?	?
OTU_3864	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	?	?	?
OTU_3863	Bacteria	FBP	uncultured organism	?	?	?	?
OTU_3856	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	?
OTU_3860	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	?
OTU_3869	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU_3858	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	?	?
OTU_3870	Bacteria	Tectomicrobia	?	?	?	?	?
OTU_3868	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Rhizocola	Rhizocola hellebori
OTU_3866	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	uncultured Conexibacteraceae bacterium	?
OTU_3874	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU_3873	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	?	?
OTU_3867	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	?	?	?
OTU_3871	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	Brachycistis timberlakei
OTU_3872	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	?
OTU_3877	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3876	Bacteria	Cyanobacteria	?	?	?	?	?
OTU_3875	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	?	?
OTU_3880	Bacteria	TM6 (Dependentiae)	?	?	?	?	?
OTU_3881	Bacteria	FBP	?	?	?	?	?
OTU_3879	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	?	?
OTU_3886	Bacteria	Proteobacteria	?	?	?	?	?
OTU_3882	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU_3878	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	?
OTU_3883	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae	Euzebya	Euzebya tangerina
OTU_3884	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	MSB-1E8	uncultured Rhodospirillales bacterium	?
OTU_3885	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales Incertae Sedis	?	?
OTU_3891	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	?	?
OTU_3887	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	uncultured Phyllobacteriaceae bacterium
OTU_3888	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	?	?	?
OTU_3889	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	?	?	?
OTU_3890	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	?	?
OTU_3892	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae	?	?
OTU_3896	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	?	?
OTU_3893	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	?	?	?
OTU_3894	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	JG34-KF-361	uncultured endolithic bacterium	?
OTU_3898	Bacteria	Saccharibacteria	soil bacterium WF55	?	?	?	?
OTU_3895	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	MSB-1E8	?	?
OTU_3900	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU_3904	Bacteria	Bacteroidetes	Bacteroidetes BD2-2	?	?	?	?
OTU_3906	Bacteria	?	?	?	?	?	?
OTU_3903	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Nevskiaceae	Nevskia	Nevskia ramosa
