OTU	F001DE1	F002DE2	F003DE3	F004DET1	F005DET2	F006DET3	F007C1	F008C2	F009C3	F010CT1	F011CT2	F012CT3	F013DE4	F014DE5	F015DE6	F016DET4	F017DET5	F018DET6	F019C4	F020C5	F021C6	F022CT4	F023CT5	F024CT6	F025LS1	F026LS4	F027LS5	F028LW1	F029LW2	F030LW3	F031CiS1	F032CiS4	F033CiS5	F034CiW1	F035CiW2	F036CiW3	F037ArS3	F038ArS4	F039ArS5	F040ArW1	F041ArW2	F042ArW3	F043PhS3	F044PhS4	F045PhS5	F046PhW1	F047PhW2	F048PhW3	F049PiS3	F050PiS4	F051PiS5	F052PiW1	F053PiW2	F054PiW3	F055MyS1	F056MyS2	F057MyS3	F058MyW3	F059MyW4	F060MyW5	F061QS2	F062QS3	F063QS4	F064QW1	F065QW2	F066QW4	F067MeS2	F068MeS3	F069MeS5	F070MeW2	F071MeW3	F072MeW5
OTU_47	6	0	0	0	0	1	0	0	0	0	69	0	0	0	1	0	0	0	0	51	0	1	0	0	1	0	1	1	57	0	34	1	0	16	139	3	113	2	0	461	349	1472	0	0	2	2	15	4	116	0	13	15	3	35	0	0	0	21	11	2	2	2	0	200	355	5	1	0	1	6	2	1
OTU_48	5	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	66	0	0	0	0	1	2	4	0	67	0	28	0	10	25	142	4	117	2	0	429	339	1359	2	6	3	1	12	14	101	0	20	12	3	39	0	0	0	12	3	0	9	11	0	184	332	2	0	3	0	6	0	0
OTU_49	6	7	27	11	0	17	0	5	0	56	46	1	0	14	14	0	1	2	0	3	1	3	3	3	136	25	76	0	84	25	35	6	58	40	35	28	41	154	31	84	6	28	44	31	10	70	26	141	18	64	19	65	16	106	79	0	56	58	96	152	134	16	17	37	72	63	51	85	117	121	296	212
OTU_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	9	1020	442	628	12	0	0	85	18	8	426	0	7	66	5	225	0	0	0	66	108	198	0	0	0	13	18	7	0	0	0	1	0	0
OTU_51	0	0	2	0	0	1	0	2	1	1	73	0	1	1	0	0	2	1	0	8	0	2	0	1	15	3	0	0	26	31	15	0	48	14	1	2	185	2	16	46	1	93	384	102	277	231	80	237	53	17	28	22	39	10	68	0	95	117	35	23	285	168	34	16	220	31	14	2	0	31	42	40
OTU_52	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	4	0	2	8	5	1001	390	617	11	0	1	83	16	2	421	0	5	64	1	245	0	0	0	75	117	173	0	0	0	12	16	6	0	0	1	9	1	0
OTU_53	2	4	17	24	0	19	0	9	0	57	50	4	0	15	15	0	0	0	0	9	0	0	0	0	129	17	80	2	91	17	19	10	54	33	24	26	55	148	37	74	10	17	46	34	14	66	47	149	22	40	21	71	24	72	75	0	69	56	77	155	105	21	26	48	91	66	45	95	139	105	267	173
OTU_54	19	34	57	36	0	16	284	306	256	211	30	126	25	0	4	13	8	7	90	77	67	206	125	960	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_55	3	29	3	27	0	80	1	0	0	23	1	1	41	620	0	0	1464	7	0	1	501	0	0	0	7	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	2	4	6	0	0
OTU_56	3	34	10	15	0	97	0	0	1	18	0	0	48	647	0	0	1380	10	0	0	494	0	0	0	9	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	7	5	0	0
OTU_57	15	7	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	11	56	0	0	0	0	0	7	64	27	0	0	0	0	25	31	55	2	0	0	181	69	197	0	0	0	70	50	97	64	5	61	153	91	41	0	0	0	101	58	143	0	31	0	312	372	201	0	0	0	26	0	17
OTU_58	6	28	54	28	0	21	295	297	230	176	27	134	10	1	6	14	17	10	84	72	58	163	101	914	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0
OTU_59	0	1	0	1	0	1	1	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	12	0	0	1	0	0	0	2	1	6	1	3	3	3	3	53	366	43	1037	271	378	2	0	404	2	6	0	0	0	0	1	0	0	0	0	0	42	26	3	0	0	0	17	0	0
OTU_60	0	0	31	25	0	34	0	31	130	272	56	0	11	159	45	54	113	1	0	22	1286	212	92	123	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	20	0	0	0	11	47	17	27	0	0	7	33	0	0	0	0	0	0	0	4	0	0	2	27	3	7	0	0	0	41	32	10	0	10	0	11	0	287	0	0	0	176	83	1639
OTU_62	55	85	99	18	0	29	260	93	233	242	11	133	45	41	16	35	24	9	92	363	16	227	127	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_63	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	25	0	0	0	3	44	22	28	0	0	4	24	0	0	0	0	0	0	0	4	0	0	1	39	5	10	0	0	0	51	37	13	0	7	0	5	1	257	0	0	0	180	71	1457
OTU_64	0	0	21	24	0	39	0	46	112	241	46	1	9	131	44	38	112	4	0	25	1147	176	101	100	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0
OTU_65	3	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	66	61	0	0	0	0	0	0	0	29	24	5	0	17	7	1	73	16	7	19	158	79	136	8	4	22	143	31	88	79	1	78	210	61	74	14	0	1	34	30	30	5	20	24	308	149	41	9	0	2	6	51	0
OTU_66	85	195	100	95	1	66	1	0	0	0	0	0	252	51	85	755	263	458	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_67	0	0	8	8	0	2	0	0	1	1	22	2	2	0	2	0	5	2	0	76	1	1	4	1	99	125	95	19	1	0	69	9	100	7	13	1	155	159	123	13	51	3	73	60	79	1	0	6	49	24	36	14	13	121	45	0	110	10	20	0	136	53	56	6	0	5	37	75	52	14	11	72
OTU_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2368	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_69	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	241	7	0	31	1	13	231	56	146	20	6	11	127	39	302	5	74	28	39	34	236	64	0	69	27	6	69	11	0	14	80	24	7	14	32	20	34	101	28	3	0	2	14	0	18
OTU_70	0	3	11	2	0	0	0	3	0	0	22	0	3	2	0	1	10	4	0	103	1	2	0	0	75	82	56	28	3	2	93	8	74	3	6	0	114	136	84	20	50	0	88	59	82	0	0	8	26	38	26	10	2	56	29	0	67	5	6	5	245	84	80	5	0	11	70	73	78	13	33	104
OTU_71	6	0	0	1	0	0	0	0	0	0	181	1	0	0	0	0	0	0	0	80	38	0	0	0	1	1	0	0	31	25	0	0	13	5	2	76	13	3	21	126	62	112	13	1	26	148	27	93	69	0	69	181	64	55	14	0	0	26	32	51	9	23	18	376	142	34	7	1	0	1	53	0
OTU_72	62	92	107	33	1	33	218	97	231	225	15	134	37	45	10	50	35	14	65	301	13	186	126	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1
OTU_73	4	0	0	0	0	0	0	0	0	0	186	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	2	162	277	179	2	7	1	31	0	110	11	2	38	277	67	86	0	0	1	20	9	55	6	7	7	321	72	57	0	0	0	176	23	0
OTU_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2241	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_75	14	0	0	0	0	0	1	0	0	0	97	0	0	0	0	0	0	0	0	34	28	0	0	0	0	0	0	17	43	0	0	0	0	0	0	0	0	2	0	57	0	0	0	0	62	49	0	6	7	0	488	14	787	3	0	0	0	5	0	0	30	5	0	209	103	0	0	0	0	0	0	0
OTU_76	6	57	86	34	1	69	371	52	169	148	22	162	33	17	30	33	26	15	66	100	40	241	126	143	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_77	1	0	2	0	0	5	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	12	0	1	0	1	0	15	1	1	0	20	10	1	8	34	21	3	454	15	1	0	41	26	6	26	17	22	9	0	0	16	10	308	723	32	12	3	22	13	10	23	2	24	16	37	2
OTU_78	69	11	9	33	0	108	0	0	0	0	0	0	328	154	156	460	342	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_79	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	2	15	0	0	0	2	2	8	16	126	360	130	1	22	125	29	197	36	39	23	58	50	247	26	2	0	5	14	0	51	29	10	10	107	48	55	42	20	3	4	0	2	4	0	0
OTU_80	10	0	0	1	0	0	0	0	1	0	80	0	0	0	0	0	1	0	0	41	24	0	0	0	0	0	0	7	44	0	0	0	0	0	0	0	1	1	0	34	0	2	0	0	67	56	0	3	1	0	528	15	763	8	0	0	0	1	0	1	19	0	0	190	100	0	0	0	0	1	0	1
OTU_81	53	51	116	235	0	398	53	1	28	20	4	147	23	157	36	62	127	49	24	15	2	126	26	187	1	0	0	0	0	0	0	0	1	1	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	5	0	1	0	24
OTU_82	0	0	0	0	0	6	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	0	3	9	0	0	0	16	12	2	20	25	15	0	437	20	0	0	38	30	7	20	13	21	11	0	0	26	9	276	678	40	19	0	9	16	23	22	3	16	13	29	0
OTU_83	9	72	72	44	0	65	376	40	123	170	15	173	46	4	37	6	16	18	50	88	29	220	119	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
